Date,Product,Category,Sales,Units
2023-01-09,Dress,Clothing,688.05,10
2023-01-09,Blender,Home & Kitchen,752.17,15
2023-01-09,Coffee Maker,Home & Kitchen,602.26,8
2023-01-09,Cookware Set,Home & Kitchen,721.64,6
2023-01-09,Vacuum Cleaner,Home & Kitchen,1186.17,6
2023-01-09,Air Fryer,Home & Kitchen,1134.53,13
2023-01-09,Shampoo,Beauty,354.72,29
2023-01-09,Moisturizer,Beauty,798.99,29
2023-01-09,Lipstick,Beauty,318.56,17
2023-01-09,Perfume,Beauty,547.11,9
2023-01-09,Face Serum,Beauty,633.48,15
2023-01-10,Laptop,Electronics,7340.6,8
2023-01-10,Smartphone,Electronics,10628.89,17
2023-01-10,Headphones,Electronics,3023.76,23
2023-01-10,Tablet,Electronics,3859.71,10
2023-01-10,Smart Watch,Electronics,3981.09,17
2023-01-10,T-Shirt,Clothing,850.02,34
2023-01-10,Jeans,Clothing,915.52,16
2023-01-10,Jacket,Clothing,1412.45,16
2023-01-10,Sneakers,Clothing,1049.02,13
2023-01-10,Dress,Clothing,869.13,13
2023-01-10,Blender,Home & Kitchen,844.09,17
2023-01-10,Coffee Maker,Home & Kitchen,812.86,11
2023-01-10,Cookware Set,Home & Kitchen,1423.0,11
2023-01-10,Vacuum Cleaner,Home & Kitchen,793.19,4
2023-01-10,Air Fryer,Home & Kitchen,902.25,11
2023-01-10,Shampoo,Beauty,431.47,35
2023-01-10,Moisturizer,Beauty,603.44,22
2023-01-10,Lipstick,Beauty,362.6,21
2023-01-10,Perfume,Beauty,597.62,9
2023-01-10,Face Serum,Beauty,396.75,9
2023-01-11,Laptop,Electronics,6021.82,7
2023-01-11,Smartphone,Electronics,9696.94,16
2023-01-11,Headphones,Electronics,2764.52,23
2023-01-11,Tablet,Electronics,3685.84,10
2023-01-11,Smart Watch,Electronics,3505.64,15
2023-01-11,T-Shirt,Clothing,749.05,33
2023-01-11,Jeans,Clothing,1067.64,18
2023-01-11,Jacket,Clothing,983.31,12
2023-01-11,Sneakers,Clothing,1341.35,17
2023-01-11,Dress,Clothing,590.58,9
2023-01-11,Blender,Home & Kitchen,409.0,9
2023-01-11,Coffee Maker,Home & Kitchen,904.29,11
2023-01-11,Cookware Set,Home & Kitchen,1043.1,8
2023-01-11,Vacuum Cleaner,Home & Kitchen,1288.83,7
2023-01-11,Air Fryer,Home & Kitchen,833.25,10
2023-01-11,Shampoo,Beauty,329.47,27
2023-01-11,Moisturizer,Beauty,808.03,28
2023-01-11,Lipstick,Beauty,402.14,22
2023-01-11,Perfume,Beauty,434.62,7
2023-01-11,Face Serum,Beauty,615.89,14
2023-01-12,Laptop,Electronics,5000.7,6
2023-01-12,Smartphone,Electronics,7207.84,12
2023-01-12,Headphones,Electronics,2872.75,22
2023-01-12,Tablet,Electronics,4462.05,12
2023-01-12,Smart Watch,Electronics,4172.86,16
2023-01-12,T-Shirt,Clothing,686.74,28
2023-01-12,Jeans,Clothing,1114.74,19
2023-01-12,Jacket,Clothing,1206.73,13
2023-01-12,Sneakers,Clothing,1100.63,14
2023-01-12,Dress,Clothing,900.95,13
2023-01-12,Blender,Home & Kitchen,782.43,17
2023-01-12,Coffee Maker,Home & Kitchen,691.46,9
2023-01-12,Cookware Set,Home & Kitchen,1206.79,10
2023-01-12,Vacuum Cleaner,Home & Kitchen,951.37,5
2023-01-12,Air Fryer,Home & Kitchen,1215.63,14
2023-01-12,Shampoo,Beauty,360.9,30
2023-01-12,Moisturizer,Beauty,790.19,29
2023-01-12,Lipstick,Beauty,322.86,18
2023-01-12,Perfume,Beauty,360.63,6
2023-01-12,Face Serum,Beauty,453.52,11
2023-01-13,Laptop,Electronics,8045.85,9
2023-01-13,Smartphone,Electronics,10500.93,16
2023-01-13,Headphones,Electronics,2722.05,21
2023-01-13,Tablet,Electronics,4487.17,11
2023-01-13,Smart Watch,Electronics,5103.95,21
2023-01-13,T-Shirt,Clothing,719.36,31
2023-01-13,Jeans,Clothing,1198.61,20
2023-01-13,Jacket,Clothing,1202.98,13
2023-01-13,Sneakers,Clothing,1092.33,14
2023-01-13,Dress,Clothing,663.01,10
2023-01-13,Blender,Home & Kitchen,578.73,12
2023-01-13,Coffee Maker,Home & Kitchen,807.62,11
2023-01-13,Cookware Set,Home & Kitchen,1076.51,9
2023-01-13,Vacuum Cleaner,Home & Kitchen,958.62,5
2023-01-13,Air Fryer,Home & Kitchen,940.63,11
2023-01-13,Shampoo,Beauty,221.26,20
2023-01-13,Moisturizer,Beauty,548.68,19
2023-01-13,Lipstick,Beauty,524.5,31
2023-01-13,Perfume,Beauty,425.68,7
2023-01-13,Face Serum,Beauty,307.11,7
2023-01-14,Laptop,Electronics,11925.11,13
2023-01-14,Smartphone,Electronics,10481.57,16
2023-01-14,Headphones,Electronics,2503.68,20
2023-01-14,Tablet,Electronics,4411.64,12
2023-01-14,Smart Watch,Electronics,5905.85,24
2023-01-14,T-Shirt,Clothing,1220.27,54
2023-01-14,Jeans,Clothing,2165.33,35
2023-01-14,Jacket,Clothing,1465.41,16
2023-01-14,Sneakers,Clothing,2149.89,29
2023-01-14,Dress,Clothing,1474.03,22
2023-01-14,Blender,Home & Kitchen,947.94,19
2023-01-14,Coffee Maker,Home & Kitchen,852.5,11
2023-01-14,Cookware Set,Home & Kitchen,852.0,7
2023-01-14,Vacuum Cleaner,Home & Kitchen,921.18,5
2023-01-14,Air Fryer,Home & Kitchen,852.59,10
2023-01-14,Shampoo,Beauty,358.65,30
2023-01-14,Moisturizer,Beauty,547.39,21
2023-01-14,Lipstick,Beauty,389.21,21
2023-01-14,Perfume,Beauty,652.85,10
2023-01-14,Face Serum,Beauty,556.47,13
2023-01-15,Laptop,Electronics,7829.33,9
2023-01-15,Smartphone,Electronics,12512.71,20
2023-01-15,Headphones,Electronics,3676.41,29
2023-01-15,Tablet,Electronics,5346.56,13
2023-01-15,Smart Watch,Electronics,5428.97,21
2023-01-15,T-Shirt,Clothing,1038.78,42
2023-01-15,Jeans,Clothing,1394.54,24
2023-01-15,Jacket,Clothing,1412.61,17
2023-01-15,Sneakers,Clothing,1806.22,22
2023-01-15,Dress,Clothing,1106.23,17
2023-01-15,Blender,Home & Kitchen,787.11,17
2023-01-15,Coffee Maker,Home & Kitchen,822.05,10
2023-01-15,Cookware Set,Home & Kitchen,1114.54,9
2023-01-15,Vacuum Cleaner,Home & Kitchen,916.35,5
2023-01-15,Air Fryer,Home & Kitchen,1260.2,14
2023-01-15,Shampoo,Beauty,427.43,34
2023-01-15,Moisturizer,Beauty,1127.42,41
2023-01-15,Lipstick,Beauty,504.19,27
2023-01-15,Perfume,Beauty,407.63,6
2023-01-15,Face Serum,Beauty,563.85,13
2023-01-16,Laptop,Electronics,7301.42,8
2023-01-16,Smartphone,Electronics,7724.94,12
2023-01-16,Headphones,Electronics,3103.71,23
2023-01-16,Tablet,Electronics,3056.24,8
2023-01-16,Smart Watch,Electronics,6080.57,24
2023-01-16,T-Shirt,Clothing,651.53,29
2023-01-16,Jeans,Clothing,963.88,16
2023-01-16,Jacket,Clothing,1026.11,11
2023-01-16,Sneakers,Clothing,1240.85,15
2023-01-16,Dress,Clothing,847.19,12
2023-01-16,Blender,Home & Kitchen,826.51,17
2023-01-16,Coffee Maker,Home & Kitchen,657.41,8
2023-01-16,Cookware Set,Home & Kitchen,954.4,8
2023-01-16,Vacuum Cleaner,Home & Kitchen,737.36,4
2023-01-16,Air Fryer,Home & Kitchen,896.93,10
2023-01-16,Shampoo,Beauty,269.43,22
2023-01-16,Moisturizer,Beauty,682.84,24
2023-01-16,Lipstick,Beauty,466.89,28
2023-01-16,Perfume,Beauty,455.39,7
2023-01-16,Face Serum,Beauty,425.31,11
2023-01-17,Laptop,Electronics,6343.64,7
2023-01-17,Smartphone,Electronics,10095.08,16
2023-01-17,Headphones,Electronics,2728.8,21
2023-01-17,Tablet,Electronics,3290.51,8
2023-01-17,Smart Watch,Electronics,5904.16,23
2023-01-17,T-Shirt,Clothing,693.73,29
2023-01-17,Jeans,Clothing,1071.37,19
2023-01-17,Jacket,Clothing,1008.61,12
2023-01-17,Sneakers,Clothing,1219.07,16
2023-01-17,Dress,Clothing,636.5,9
2023-01-17,Blender,Home & Kitchen,939.36,20
2023-01-17,Coffee Maker,Home & Kitchen,666.77,9
2023-01-17,Cookware Set,Home & Kitchen,1083.28,8
2023-01-17,Vacuum Cleaner,Home & Kitchen,793.91,4
2023-01-17,Air Fryer,Home & Kitchen,1109.64,12
2023-01-17,Shampoo,Beauty,438.73,39
2023-01-17,Moisturizer,Beauty,962.17,37
2023-01-17,Lipstick,Beauty,448.24,27
2023-01-17,Perfume,Beauty,456.13,7
2023-01-17,Face Serum,Beauty,614.03,15
2023-01-18,Laptop,Electronics,4574.81,5
2023-01-18,Smartphone,Electronics,8074.13,13
2023-01-18,Headphones,Electronics,2697.7,22
2023-01-18,Tablet,Electronics,2899.63,7
2023-01-18,Smart Watch,Electronics,4049.74,16
2023-01-18,T-Shirt,Clothing,868.27,36
2023-01-18,Jeans,Clothing,954.23,17
2023-01-18,Jacket,Clothing,1255.18,15
2023-01-18,Sneakers,Clothing,1804.27,23
2023-01-18,Dress,Clothing,846.13,12
2023-01-18,Blender,Home & Kitchen,769.82,16
2023-01-18,Coffee Maker,Home & Kitchen,955.3,12
2023-01-18,Cookware Set,Home & Kitchen,852.5,7
2023-01-18,Vacuum Cleaner,Home & Kitchen,1114.3,6
2023-01-18,Air Fryer,Home & Kitchen,1022.27,11
2023-01-18,Shampoo,Beauty,351.46,30
2023-01-18,Moisturizer,Beauty,965.37,33
2023-01-18,Lipstick,Beauty,349.78,21
2023-01-18,Perfume,Beauty,301.77,5
2023-01-18,Face Serum,Beauty,414.58,10
2023-01-19,Laptop,Electronics,7497.32,9
2023-01-19,Smartphone,Electronics,7554.25,12
2023-01-19,Headphones,Electronics,3520.49,27
2023-01-19,Tablet,Electronics,3061.99,8
2023-01-19,Smart Watch,Electronics,4123.62,17
2023-01-19,T-Shirt,Clothing,717.75,32
2023-01-19,Jeans,Clothing,868.63,16
2023-01-19,Jacket,Clothing,1050.52,12
2023-01-19,Sneakers,Clothing,848.21,11
2023-01-19,Dress,Clothing,781.28,11
2023-01-19,Blender,Home & Kitchen,612.75,13
2023-01-19,Coffee Maker,Home & Kitchen,465.65,6
2023-01-19,Cookware Set,Home & Kitchen,735.05,6
2023-01-19,Vacuum Cleaner,Home & Kitchen,1242.89,6
2023-01-19,Air Fryer,Home & Kitchen,872.11,10
2023-01-19,Shampoo,Beauty,338.24,30
2023-01-19,Moisturizer,Beauty,787.89,30
2023-01-19,Lipstick,Beauty,431.12,26
2023-01-19,Perfume,Beauty,540.58,9
2023-01-19,Face Serum,Beauty,378.23,9
2023-01-20,Laptop,Electronics,8042.43,9
2023-01-20,Smartphone,Electronics,8024.96,12
2023-01-20,Headphones,Electronics,3058.79,23
2023-01-20,Tablet,Electronics,5257.3,14
2023-01-20,Smart Watch,Electronics,4108.36,16
2023-01-20,T-Shirt,Clothing,798.29,32
2023-01-20,Jeans,Clothing,1001.44,17
2023-01-20,Jacket,Clothing,1463.07,17
2023-01-20,Sneakers,Clothing,911.4,12
2023-01-20,Dress,Clothing,895.29,13
2023-01-20,Blender,Home & Kitchen,811.19,17
2023-01-20,Coffee Maker,Home & Kitchen,808.3,11
2023-01-20,Cookware Set,Home & Kitchen,995.92,8
2023-01-20,Vacuum Cleaner,Home & Kitchen,1124.17,6
2023-01-20,Air Fryer,Home & Kitchen,900.73,10
2023-01-20,Shampoo,Beauty,438.32,38
2023-01-20,Moisturizer,Beauty,809.72,29
2023-01-20,Lipstick,Beauty,422.41,25
2023-01-20,Perfume,Beauty,428.83,7
2023-01-20,Face Serum,Beauty,528.66,12
2023-01-21,Laptop,Electronics,7461.16,9
2023-01-21,Smartphone,Electronics,16160.15,25
2023-01-21,Headphones,Electronics,3610.65,27
2023-01-21,Tablet,Electronics,4738.71,12
2023-01-21,Smart Watch,Electronics,4282.62,18
2023-01-21,T-Shirt,Clothing,1029.21,43
2023-01-21,Jeans,Clothing,1959.21,33
2023-01-21,Jacket,Clothing,1149.26,14
2023-01-21,Sneakers,Clothing,2026.49,27
2023-01-21,Dress,Clothing,1380.86,21
2023-01-21,Blender,Home & Kitchen,631.88,13
2023-01-21,Coffee Maker,Home & Kitchen,876.03,11
2023-01-21,Cookware Set,Home & Kitchen,1281.88,10
2023-01-21,Vacuum Cleaner,Home & Kitchen,1251.13,6
2023-01-21,Air Fryer,Home & Kitchen,1054.0,12
2023-01-21,Shampoo,Beauty,393.02,32
2023-01-21,Moisturizer,Beauty,926.33,34
2023-01-21,Lipstick,Beauty,484.69,26
2023-01-21,Perfume,Beauty,590.11,9
2023-01-21,Face Serum,Beauty,658.35,15
2023-01-22,Laptop,Electronics,6803.2,8
2023-01-22,Smartphone,Electronics,9550.76,15
2023-01-22,Headphones,Electronics,2534.79,19
2023-01-22,Tablet,Electronics,4726.77,12
2023-01-22,Smart Watch,Electronics,6824.17,27
2023-01-22,T-Shirt,Clothing,1240.63,52
2023-01-22,Jeans,Clothing,1530.34,25
2023-01-22,Jacket,Clothing,1548.94,17
2023-01-22,Sneakers,Clothing,1570.36,21
2023-01-22,Dress,Clothing,1528.5,24
2023-01-22,Blender,Home & Kitchen,997.13,21
2023-01-22,Coffee Maker,Home & Kitchen,1145.13,14
2023-01-22,Cookware Set,Home & Kitchen,992.25,8
2023-01-22,Vacuum Cleaner,Home & Kitchen,1981.1,10
2023-01-22,Air Fryer,Home & Kitchen,977.27,11
2023-01-22,Shampoo,Beauty,364.86,31
2023-01-22,Moisturizer,Beauty,1031.06,38
2023-01-22,Lipstick,Beauty,506.0,30
2023-01-22,Perfume,Beauty,655.85,10
2023-01-22,Face Serum,Beauty,438.54,10
2023-01-23,Laptop,Electronics,5031.85,6
2023-01-23,Smartphone,Electronics,10071.2,15
2023-01-23,Headphones,Electronics,2441.38,20
2023-01-23,Tablet,Electronics,3153.25,8
2023-01-23,Smart Watch,Electronics,3799.65,16
2023-01-23,T-Shirt,Clothing,778.21,33
2023-01-23,Jeans,Clothing,1363.55,23
2023-01-23,Jacket,Clothing,748.45,9
2023-01-23,Sneakers,Clothing,1135.61,15
2023-01-23,Dress,Clothing,784.79,11
2023-01-23,Blender,Home & Kitchen,718.92,14
2023-01-23,Coffee Maker,Home & Kitchen,659.74,8
2023-01-23,Cookware Set,Home & Kitchen,725.94,6
2023-01-23,Vacuum Cleaner,Home & Kitchen,1381.68,7
2023-01-23,Air Fryer,Home & Kitchen,733.33,8
2023-01-23,Shampoo,Beauty,285.27,24
2023-01-23,Moisturizer,Beauty,693.73,26
2023-01-23,Lipstick,Beauty,426.73,23
2023-01-23,Perfume,Beauty,462.08,7
2023-01-23,Face Serum,Beauty,528.67,13
2023-01-24,Laptop,Electronics,7327.22,8
2023-01-24,Smartphone,Electronics,8603.4,14
2023-01-24,Headphones,Electronics,2414.07,20
2023-01-24,Tablet,Electronics,3722.88,10
2023-01-24,Smart Watch,Electronics,4616.65,18
2023-01-24,T-Shirt,Clothing,654.37,28
2023-01-24,Jeans,Clothing,1235.54,22
2023-01-24,Jacket,Clothing,1375.95,15
2023-01-24,Sneakers,Clothing,1484.5,19
2023-01-24,Dress,Clothing,919.46,14
2023-01-24,Blender,Home & Kitchen,663.88,13
2023-01-24,Coffee Maker,Home & Kitchen,806.63,10
2023-01-24,Cookware Set,Home & Kitchen,888.35,7
2023-01-24,Vacuum Cleaner,Home & Kitchen,984.81,5
2023-01-24,Air Fryer,Home & Kitchen,1000.85,12
2023-01-24,Shampoo,Beauty,350.71,28
2023-01-24,Moisturizer,Beauty,993.81,34
2023-01-24,Lipstick,Beauty,464.29,26
2023-01-24,Perfume,Beauty,371.64,6
2023-01-24,Face Serum,Beauty,550.05,14
2023-01-25,Laptop,Electronics,6052.6,7
2023-01-25,Smartphone,Electronics,10181.01,16
2023-01-25,Headphones,Electronics,3062.39,24
2023-01-25,Tablet,Electronics,4601.95,11
2023-01-25,Smart Watch,Electronics,4808.64,19
2023-01-25,T-Shirt,Clothing,518.81,23
2023-01-25,Jeans,Clothing,1251.77,22
2023-01-25,Jacket,Clothing,944.26,11
2023-01-25,Sneakers,Clothing,1107.05,14
2023-01-25,Dress,Clothing,776.59,11
2023-01-25,Blender,Home & Kitchen,917.36,18
2023-01-25,Coffee Maker,Home & Kitchen,633.94,8
2023-01-25,Cookware Set,Home & Kitchen,947.37,7
2023-01-25,Vacuum Cleaner,Home & Kitchen,923.43,5
2023-01-25,Air Fryer,Home & Kitchen,1167.22,14
2023-01-25,Shampoo,Beauty,324.71,27
2023-01-25,Moisturizer,Beauty,844.35,29
2023-01-25,Lipstick,Beauty,383.44,21
2023-01-25,Perfume,Beauty,653.77,10
2023-01-25,Face Serum,Beauty,370.99,9
2023-01-26,Laptop,Electronics,6937.06,8
2023-01-26,Smartphone,Electronics,10468.65,16
2023-01-26,Headphones,Electronics,2864.52,24
2023-01-26,Tablet,Electronics,3306.99,8
2023-01-26,Smart Watch,Electronics,4257.55,17
2023-01-26,T-Shirt,Clothing,926.34,37
2023-01-26,Jeans,Clothing,1678.44,28
2023-01-26,Jacket,Clothing,1060.56,12
2023-01-26,Sneakers,Clothing,1324.41,17
2023-01-26,Dress,Clothing,806.89,12
2023-01-26,Blender,Home & Kitchen,661.65,14
2023-01-26,Coffee Maker,Home & Kitchen,694.79,9
2023-01-26,Cookware Set,Home & Kitchen,841.53,7
2023-01-26,Vacuum Cleaner,Home & Kitchen,1200.23,6
2023-01-26,Air Fryer,Home & Kitchen,1149.52,14
2023-01-26,Shampoo,Beauty,261.02,23
2023-01-26,Moisturizer,Beauty,722.32,25
2023-01-26,Lipstick,Beauty,380.58,21
2023-01-26,Perfume,Beauty,497.0,8
2023-01-26,Face Serum,Beauty,442.07,11
2023-01-27,Laptop,Electronics,7467.76,8
2023-01-27,Smartphone,Electronics,10285.04,16
2023-01-27,Headphones,Electronics,2019.91,15
2023-01-27,Tablet,Electronics,2662.19,7
2023-01-27,Smart Watch,Electronics,4310.18,18
2023-01-27,T-Shirt,Clothing,933.08,40
2023-01-27,Jeans,Clothing,980.25,18
2023-01-27,Jacket,Clothing,1012.05,11
2023-01-27,Sneakers,Clothing,1390.31,18
2023-01-27,Dress,Clothing,924.82,13
2023-01-27,Blender,Home & Kitchen,582.59,12
2023-01-27,Coffee Maker,Home & Kitchen,870.9,11
2023-01-27,Cookware Set,Home & Kitchen,736.65,6
2023-01-27,Vacuum Cleaner,Home & Kitchen,1034.9,5
2023-01-27,Air Fryer,Home & Kitchen,931.98,10
2023-01-27,Shampoo,Beauty,281.36,23
2023-01-27,Moisturizer,Beauty,770.26,28
2023-01-27,Lipstick,Beauty,325.32,19
2023-01-27,Perfume,Beauty,497.96,8
2023-01-27,Face Serum,Beauty,502.07,12
2023-01-28,Laptop,Electronics,6821.26,8
2023-01-28,Smartphone,Electronics,11384.67,17
2023-01-28,Headphones,Electronics,2851.34,24
2023-01-28,Tablet,Electronics,4084.47,10
2023-01-28,Smart Watch,Electronics,6539.62,28
